School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City
Carpenter Community Charter School,"3909 Carpenter Ave., Los Angeles, CA, 91604","10
",9,10,10,"['Elementary school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/1978-Carpenter-Community-Charter-School/reviews/,https://www.greatschools.org/california/studio-city/1978-Carpenter-Community-Charter-School/,Los Angeles
Valley View Elementary School,"6921 Woodrow Wilson Drive, Los Angeles, CA, 90068","10
",10,9,N/A,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/,Los Angeles
Balboa Gifted/High Ability Magnet Elementary School,"17020 Labrador Street, Los Angeles, CA, 91325","9
",8,10,10,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/reviews/,https://www.greatschools.org/california/northridge/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/,Los Angeles
Beckford Charter for Enriched Studies,"19130 Tulsa St., Los Angeles, CA, 91326","9
",7,10,10,"['Elementary school', 'Public charter']",3.3,https://www.greatschools.org/california/los-angeles/1925-Beckford-Charter-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/northridge/1925-Beckford-Avenue-Elementary-School/,Los Angeles
Clover Avenue Elementary School,"11020 Clover Avenue, Los Angeles, CA, 90034","9
",7,10,10,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/,Los Angeles
Colfax Charter Elementary School,"11724 Addison St., Los Angeles, CA, 91607","9
",7,10,10,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2007-Colfax-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2007-Colfax-Charter-Elementary-School/,Los Angeles
Community Magnet Charter Elementary School,"11301 Bellagio Road, Los Angeles, CA, 90049","9
",7,10,10,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/,Los Angeles
Fairburn Avenue Elementary School,"1403 Fairburn Avenue, Los Angeles, CA, 90024","9
",7,10,10,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/,Los Angeles
Granada Hills Charter High School,"10535 Zelzah Avenue, Los Angeles, CA, 91344","9
",7,10,10,"['Elementary school', 'Middle school', 'High school', 'Public charter']",2.8,https://www.greatschools.org/california/los-angeles/2112-Granada-Hills-Charter-High-School/reviews/,https://www.greatschools.org/california/granada-hills/2112-Granada-Hills-Charter-High-School/,Los Angeles
Kenter Canyon Elementary School,"645 North Kenter Avenue, Los Angeles, CA, 90049","9
",9,10,9,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/,Los Angeles
