School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Carpenter Community Charter School,"3909 Carpenter Ave., Los Angeles, CA, 91604",10,9.0,10.0,10.0,"['Elementary school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/1978-Carpenter-Community-Charter-School/reviews/,https://www.greatschools.org/california/studio-city/1978-Carpenter-Community-Charter-School/,Los Angeles,False,True,False,False,1.0,0.9,1.0,10.0,Above Average,False,True,False,34.125112800000004,-118.34574579999999
Valley View Elementary School,"6921 Woodrow Wilson Drive, Los Angeles, CA, 90068",10,10.0,9.0,,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/,Los Angeles,False,True,False,False,0.9,1.0,,10.0,Above Average,False,False,True,34.141566652173914,-118.3916657826087
Balboa Gifted/High Ability Magnet Elementary School,"17020 Labrador Street, Los Angeles, CA, 91325",9,8.0,10.0,10.0,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/reviews/,https://www.greatschools.org/california/northridge/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.8,1.0,9.0,Above Average,False,False,True,34.08164608811022,-118.46238419161423
Beckford Charter for Enriched Studies,"19130 Tulsa St., Los Angeles, CA, 91326",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",3.3,https://www.greatschools.org/california/los-angeles/1925-Beckford-Charter-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/northridge/1925-Beckford-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.07012783304185,-118.48851923897199
Clover Avenue Elementary School,"11020 Clover Avenue, Los Angeles, CA, 90034",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.16117126530612,-118.38868102040817
Colfax Charter Elementary School,"11724 Addison St., Los Angeles, CA, 91607",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2007-Colfax-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2007-Colfax-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.25376620833333,-118.49600666666667
Community Magnet Charter Elementary School,"11301 Bellagio Road, Los Angeles, CA, 90049",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.070944,-118.334886
Fairburn Avenue Elementary School,"1403 Fairburn Avenue, Los Angeles, CA, 90024",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.02850930612245,-118.44035559183673
Granada Hills Charter High School,"10535 Zelzah Avenue, Los Angeles, CA, 91344",9,7.0,10.0,10.0,"['Elementary school', 'Middle school', 'High school', 'Public charter']",2.8,https://www.greatschools.org/california/los-angeles/2112-Granada-Hills-Charter-High-School/reviews/,https://www.greatschools.org/california/granada-hills/2112-Granada-Hills-Charter-High-School/,Los Angeles,False,True,True,True,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.19214303345984,-118.63794262725573
Kenter Canyon Elementary School,"645 North Kenter Avenue, Los Angeles, CA, 90049",9,9.0,10.0,9.0,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.9,0.9,9.0,Above Average,False,True,False,34.24790095,-118.50320921585504
